claim,label
162,"Africa may see millions of coronavirus cases, tentative WHO forecast shows.",TRUE
163,Michigan Gov. Gretchen Whitmer banned the sale or purchase of American flags during the COVID-19 pandemic.,FALSE
164,United States President Donald Trump made several statements downplaying the nature of the COVID-19 pandemic.,TRUE
165,Healthcare group Novacyt wins U.S. approval for coronavirus test.,TRUE
166,Eating bananas is a preventative against the COVID-19 coronavirus disease.,FALSE
167,Dr. Anthony Fauci said the National Institutes of Health (NIH) was told to cancel a grant funding research for a study investigating how coronaviruses jump from bats to humans.,TRUE
168,Italian doctors slam failings in Lombardy coronavirus response.,TRUE
169,“59 people die as pastor gives them dettol to drink in church to prevent coronavirus.”,FALSE
170,"Swiss coronavirus cases surge, canton orders seniors to stay home.",TRUE
171,"'Bigger than winning the war': WWII vet, aged 99, survives coronavirus in Brazil.",TRUE
172,U.S. President Donald Trump suggested during a White House briefing that injecting disinfectants could treat COVID-19.,TRUE
173,Deaths in Singapore 'inevitable' as coronavirus spreads globally - minister.,TRUE
174,"New York coronavirus hospitalizations fall, New Jersey launches nursing home probe.",TRUE
175,Australia tightens social distancing rules to fight coronavirus.,TRUE
176,"Donating blood requires that you be administered a free test for the COVID-19, a disease caused by the coronavirus.",FALSE
177,Colombians scramble to get ready for coronavirus quarantine.,TRUE
178,Oregon seeks volunteers for random testing for COVID-19.,TRUE
179,Italy bans internal travel as a further 651 die from coronavirus.,TRUE
180,"""Iowa Democratic Party Says Joni Ernst """"claims she ‘pushed for’ new funding for hospitals and COVID-19 testing after opposing It for weeks.”""",mixture
181,US patent 10130701 is for coronavirus.,mixture
182,Rare Wyoming Legislature special session to take on COVID-19.,TRUE
183,Exclusive: India agrees to sell hydroxychloroquine to Malaysia to help fight COVID-19.,TRUE
184,"Turkey confirms first coronavirus case, wins WHO praise for vigilance.",TRUE
185,Macron warns France that coronavirus epidemic is coming.,TRUE
186,"""Texas Lt. Gov. Dan Patrick said COVID-19 social-distancing restrictions should be eased because """"there are more important things than living.""",TRUE
187,A Chinese intelligence officer revealed that a new coronavirus was developed in a lab as a bioweapon.,FALSE
188,Facebook post Says video of body bags being dumped in a ditch shows the “situation in Italy” due to the coronavirus.,FALSE
189,"“Cannabis may stop coronavirus from infecting people, study finds.”",FALSE
190,A CBS News program used a brief clip from an Italian hospital in a segment about the coronavirus crisis in New York City.,TRUE
191,Harvard professor Charles Lieber was arrested for concealing funding from a Chinese lab supposedly connected to the origin of the new coronavirus.,mixture
192,A letter providing tips on how to protect against the new coronavirus was authored by pathologist James Robb.,TRUE
193,"$100B contact tracing bill “is about controlling/tracking population, not about coronavirus.”",FALSE
194,COVID-19 cases are “up only because of our big number testing.”,FALSE
195,Coronavirus travel: national advice not all of a piece.,TRUE
196,Viral image Says the coronavirus isn’t new because “Lysol has it listed as one of the viruses that it kills.”,FALSE
197,AstraZeneca to test impact of cancer drug Calquence on coronavirus patients.,TRUE
198,Top epidemiologist: UK had no time to lose on coronavirus battle.,TRUE
199,"The Centers for Disease Control and Prevention advised parents to prepare for a “sudden sleepover” in the event of an emergency, which included COVID-19 outbreaks in schools.",mixture
200,Covidien to stop selling hypertension device.,TRUE
201,"Medicare is paying hospitals $13,000 for patients admitted with COVID-19 diagnoses and $39,000 if those patients are placed on ventilators.",mixture
202,"""Financier George Soros owns the lab in Wuhan, China, where the COVID-19 coronavirus disease was """"developed.""",FALSE
203,"Hyundai to provide COVID 19 tests, 'drive through' testing support in U.S.",TRUE
204,“OSHA says masks don't work” to reduce COVID-19 transmission “and violate OSHA oxygen levels.”,FALSE
205,Sewing machines become latest weapon against coronavirus as California volunteers swing into action.,TRUE
206,"""Dr. Anthony Fauci said there was """"nothing to worry about"""" in late February 2020 in regards to COVID-19 and it was """"safe"""" to do things like go to the movies and the gym.""",mixture
207,Indonesia says lack of coronavirus cases a blessing from God.,TRUE
208,No proof drug touted by Trump is effective against coronavirus: EU.,TRUE
209,"”America has been vaccinating cattle for coronavirus for years, yet the news tells you it’s new and gunna kill you all so go buy mask.”",FALSE
210,Iran coronavirus death toll up as official warns of autumn rise in cases.,TRUE
211,World's worst air adds to Serbian capital's coronavirus woes.,TRUE
212,"A cellular service outage on June 15, 2020, enabled Apple and Google to covertly install COVID-19 tracking apps onto phones.",FALSE
213,South Korea extends intensive social distancing to reach 50 daily coronavirus cases.,TRUE
214,"Stocks savaged, Italy on lockdown, Trump seeks to reassure as coronavirus spreads.",TRUE
215,"Donated meals make 'huge difference', say UK coronavirus medics.",TRUE
216,Florida residents kept congregating at local beaches in spite of the COVID-19 pandemic.,TRUE
217,PM Johnson warns Britons: more loved ones are going to die from coronavirus.,TRUE
218,"Toughest weeks ahead in coronavirus fight, warns French PM.",TRUE
219,"""Priorities USA Action Says President Trump said coronavirus testing makes the U.S. look bad, """"so I said to my people, ‘Slow the testing down.’""",TRUE
220,Anti-inflammatories should be used to fight Covid-19.,mixture
221,"When it comes to protecting against COVID-19 transmission, neck gaiters are worse than wearing no mask at all.",FALSE
222,"A 103 year-old Chinese grandmother has made a full recovery from Covid-19 after being treated for 6 days in Wuhan, China",TRUE
223,U.S. House Speaker Nancy Pelosi held up a coronavirus funding package so that Democrats could run negative ads about Republicans that made the latter look bad.,FALSE
224,"Wyoming to loosen COVID-19 restaurant, bar, gathering rules.",TRUE
225,Amish people are not contracting coronavirus because they don't have televisions.,FALSE
226,"""The United States """"refused"""" COVID-19 diagnostic tests offered by the World Health Organization.""",mixture
227,Moderna receives $483 million BARDA award for COVID-19 vaccine development.,TRUE
228,A Kentucky couple were placed under house arrest in July 2020 after a woman diagnosed with COVID-19 refused to agree to self-isolate because it would require her to get prior approval to go to the hospital.,TRUE
229,"A doctor working out of McKinney, Texas has treated more than 75 patients for COVID-19 using a regimen of hydroxychloroquine, azithromycin, losartan, aspirin, zinc, and CBD, a.k.a. cannabidiol oil.",unproven
230,Colorado just REDUCED their Covid death toll from 1150 to 878 after their Department of Health ADMITTED they were counting those who tested positive for the virus but died from OTHER CAUSES!,mixture
231,Blogger Says Nancy Pelosi tried “once again” to include abortion funding in the latest coronavirus bill.,FALSE
232,For coronavirus cases “in the U.S. 38% of those hospitalized are under 35.”,FALSE
233,"""A CNN chyron indicated that COVID-19's global death toll was approaching """"three million"""" people on April 26 2020, transposing the rate of reported cases with the rate of deaths worldwide.""",TRUE
234,A dancer at a Las Vegas strip club may have infected several customers with COVID-19 after a performance.,FALSE
235,The United States is “actually screening fewer people (for the coronavirus than other countries) because we don't have appropriate testing.,TRUE
236,A network of Canadian scientists are making excellent progress in Covid-19 research.,TRUE
237,Suggests Trump urged sick people to get out and vote during COVID-19 pandemic,FALSE
238,"War-ravaged Yemen confirms first coronavirus case, braces for more.",TRUE
239,"""Data displayed on the World Bank's World Integrated Trade Solution (WITS) website in September 2020 proved that dozens of nations imported or exported items labeled """"COVID-19 Test Kits"""" in 2018 — more than a year before the pandemic occurred and before COVID-19 even had a name.""",FALSE
240,Washington state man becomes first U.S. coronavirus fatality.,TRUE
241,"Brazil's Bolsonaro plays down coronavirus risk as cases top 1,500.",TRUE
242,"""Bill Gates —  along with a coalition dubbed """"ID 2020"""" — seeks to """"microchip"""" the world population using a COVID-19 vaccine.""",FALSE
243,"""U.S. President Trump acknowledged that COVID-19 is deadlier than the flu in early February 2020, but continued to downplay the pandemic as """"like the flu"""" in public. """,TRUE
244,Image depicts a person's destroyed kitchen after they tried to microwave a coronavirus mask during the COVID-19 pandemic.,FALSE
245,"South Asia coronavirus cases hit 22,000 as Maldives locks down capital.",TRUE
246,"Italy's coronavirus deaths surge by 627 in a day, elderly at high risk.",TRUE
247,"Portugal's coronavirus cases grow, half a million workers at risk of lay off.",TRUE
248,Experts urge smokers and tobacco firms to quit for COVID-19.,TRUE
249,"Facebook post Says imposters in hazmat suits are going door to door in Stockton, Calif., saying they are checking residents for fever or COVID-19, but they “will enter your home and physically attempt robbery.”",FALSE
250,"South Dakota reports 1 more coronavirus death, 95 new cases.",TRUE
251,UK's Prince William and Kate say: look after mental health in coronavirus crisis.,TRUE
252,Huge! Results From Breaking Chloroquine Study Show 100% Cure Rate For Patients Infected With The Coronavirus.,FALSE
253,"""In an interview that aired August 3 2020, President Trump said """"when I took over, we didn't even have a test"""" for COVID-19.""",TRUE
254,Venezuela confirms coronavirus cases amid public health concerns.,TRUE
255,The Centers for Disease Control and Prevention's page tracking the number of COVID-19 cases in the United States stopped disclosing the number of people tested between March 1 and 2 2020.,unproven
256,"""The website """"coronavirusmap.com"""" contains a type of malware that can steal users' personal information.""",TRUE
257,Hospitals get paid more to list patients as COVID-19.,mixture
258,Indiana health officials say 11 more deaths from COVID-19.,TRUE
259,"""Photographs and video taken of a COVID-19 anti-lockdown/""""Reopen Tennessee"""" protest shows one participant holding a sign reading """"sacrifice the weak.""",TRUE
260,"South Africa coronavirus cases rise to 2,415, China donates equipment.",TRUE
261,"Nigeria orders 14-day cessation of movement in Lagos, Abuja to fight coronavirus.",TRUE
262,Circulating posts by a man named Richard Rose demonstrate his position that COVID-19 was a hoax; Rose died from COVID-19 in July 2020.,TRUE
263,A meme documents U.S. President Donald Trump's statements about the COVID-19 pandemic in March 2020.,TRUE
264,Johnson tells UK: Stay apart or face tougher coronavirus measures.,TRUE
265,"""The World Health Organization advised social media users against """"unprotected sex"""" with farm animals in response to a coronavirus outbreak that appears to have originated in China.""",FALSE
266,Malaysia turns to coronavirus antibody tests to supplement laboratory checks.,TRUE
267,'Like a zombie apocalypse': Residents on edge as coronavirus cases surge in South Korea.,TRUE
268,"""If the coronavirus gets in your mouth, """"drinking water or other liquids will WASH them down through your esophagus and into the stomach. Once there in tummy ... your stomach ACID will kill all the virus.""",FALSE
269,Youngsters deliberately coughing on produce in grocery stores during the COVID-19 pandemic is a nationwide trend in the U.S.,FALSE
270,"""Kelly Alexander Says """"most"""" NC legislators are in the """"high risk age group"""" for coronavirus""",TRUE
271,"“While all COVID-19 news has been going on, the U.S. Government has been sneakily trying to remove end-to-end encryption” which means “the government will be able to see all of your messages and listen to all of your calls.”",FALSE
272,Prince William opens new UK emergency COVID-19 hospital.,TRUE
273,"Kenya, Ethiopia join expanding list of African states with coronavirus.",TRUE
274,COVID-19 could lose its epidemic status in the United States because of declining coronavirus death rates according to CDC data.,FALSE
275,"Doctors in India have been successful in treating coronavirus with a combination of drugs (Lopinavir, Retonovir, Oseltamivir along with Chlorphenamine) and are going to suggest the same medicine globally.",TRUE
276,You have to go to  Settings -> Privacy -> Health -> COVID-19 Exposure to turn off automatic contact tracing on your iPhone and/or Android device.,mixture
277,"Amid coronavirus pandemic, black mistrust of medicine looms.",TRUE
278,Could the new coronavirus weaken 'anti-vaxxers'?.,TRUE
279,China has closed down its last coronavirus hospital. Not enough new cases to support them.,TRUE
280,"A viral Facebook post represents an open letter from a grocery store manager during the coronavirus pandemic, addressing common misconceptions by shoppers.",unproven
281,"If the new coronavirus gets into your mouth, drinking water or other liquids will wash them down through the oesophagus. Once they’re in the stomach, the acid will kill the virus. If you don't drink enough water more regularly, the virus can enter your windpipes and into the lungs.",TRUE
282,"WHO says new China coronavirus could spread, warns hospitals worldwide.",TRUE
283,“NYC man drops dead in middle of street — suspected coronavirus!”,FALSE
284,Raincoats and rubber boots for Pakistani aid workers in coronavirus fight.,TRUE
285,62-year-old doctor Liang Wudong died while helping treat patients for coronavirus in the Chinese city of Wuhan.,unproven
286,Investors await data on coronavirus drugs as market rally builds.,TRUE
287,"“The blood test for coronavirus costs $3,200.”",FALSE
288,Tooth fairy in quarantine? Argentina makes exemption in coronavirus lockdown.,TRUE
289,Ultraviolet light (UV) can be injected into a person's body to help them fend off COVID-19.,FALSE
290,The U.S. economic downturn due to the COVID-19 coronavirus pandemic in early 2020 was forcing the United States Postal Service to close.,mixture
291,“No other country” is having a “second wave” of COVID-19 “because they are not trying to unseat a President in November.”,FALSE
292,Italian with coronavirus in Nigeria was not isolated for almost 48 hours.,TRUE
293,"“N95 masks block few, if any” COVID-19 particles due to their size.",FALSE
294,No COVID-19 testing at home yet but quicker options coming.,TRUE
295,White House hopefuls target Trump on coronavirus response.,TRUE
296,'Stay at home' New Zealand PM urges ahead of coronavirus lockdown.,TRUE
297,"“According to the CDC, so far this year, Florida has had 1,762 deaths from COVID-19 and 5,185 from pneumonia. Average pneumonia deaths in Florida from 2013-2018 for the same time period are 918.”",FALSE
298,"""The Simpsons"""" television show predicted the 2020 COVID-19 pandemic and """"murder wasp"""" incursion in a 1993 episode.""",mixture
299,UK's Royal Mint making coronavirus protective gear for health staff.,TRUE
300,New York Governor sounds optimistic note as coronavirus numbers improve.,TRUE
301,"Nurses must be protected from abuse during coronavirus pandemic: WHO, nursing groups.",TRUE
302,Tokyo records most new coronavirus cases in a day as pressure for lockdown builds.,TRUE
303,"California's Department of Social Services issued a letter to MediCal and CalFresh recipients, ordering families to undergo immediate COVID-19 testing or their kids would be put into foster care.",FALSE
304,Amazon announced that it was suspending all deliveries except for medical supplies during the COVID-19 pandemic.,FALSE
305,A photo of four x-rays side-by-side compares lung damage inflicted by COVID-19 and two additional diseases.,unproven
306,“Texas ranks 3rd highest among states for the number of people who have recovered from” the coronavirus.,mixture
307,Yearning for a pint? Brussels brewers deliver to homes during coronavirus lockdown.,TRUE
308,The government must have planned the coronavirus pandemic because the coronavirus relief bill had been introduced three years earlier.,FALSE
309,Wisconsin is “clearly seeing a decline in COVID infections”,FALSE
310,"To test for the new coronavirus, take a deep breath and hold for more than 10 seconds. If you complete it successfully without coughing, discomfort, stuffiness or tightness it proves there is no fibrosis in the lungs, basically indicating no infection.",unproven
311,"Dan Patrick Says for the coronavirus, “the death rate in Texas, per capita of 29 million people, we're one of the lowest in the country.",TRUE
312,Ron Paul Says Anthony Fauci’s statement that the coronavirus death rate is 10 times that of the seasonal flu is “a claim without any scientific basis.,FALSE
313,Who gets the ventilator? British doctors contemplate harrowing coronavirus care choices.,TRUE
